DAGS,MED
13.8.2010,20595.00
16.8.2010,20576.00
17.8.2010,20605.00
18.8.2010,20609.00
19.8.2010,20598.00
20.8.2010,20543.00
23.8.2010,20526.00
24.8.2010,20514.00
25.8.2010,20531.00
26.8.2010,20517.00
27.8.2010,20576.00
30.8.2010,20587.00
31.8.2010,20598.00
1.9.2010,20609.00
2.9.2010,20619.00
3.9.2010,20417.00
6.9.2010,20296.00
7.9.2010,20251.00
8.9.2010,20219.00
9.9.2010,20224.00
10.9.2010,20229.00
13.9.2010,20275.00
14.9.2010,20292.00
15.9.2010,20362.00
16.9.2010,20438.00
17.9.2010,20551.00
20.9.2010,20556.00
21.9.2010,20597.00
22.9.2010,20677.00
23.9.2010,20673.00
24.9.2010,20701.00
27.9.2010,20664.00
28.9.2010,20688.00
29.9.2010,20745.00
30.9.2010,20781.00
1.10.2010,20757.00
4.10.2010,20709.00
5.10.2010,20733.00
6.10.2010,20692.00
7.10.2010,20724.00
8.10.2010,20754.00
11.10.2010,20705.00
12.10.2010,20759.00
13.10.2010,20814.00
14.10.2010,20824.00
15.10.2010,20882.00
18.10.2010,20849.00
19.10.2010,20865.00
20.10.2010,20886.00
21.10.2010,20973.00
22.10.2010,20957.00
25.10.2010,20973.00
26.10.2010,20911.00
27.10.2010,20877.00
28.10.2010,20829.00
29.10.2010,20804.00
1.11.2010,20809.00
2.11.2010,20739.00
3.11.2010,20748.00
4.11.2010,20780.00
5.11.2010,20762.00
8.11.2010,20678.00
9.11.2010,20669.00
10.11.2010,20585.00
11.11.2010,20587.00
12.11.2010,20584.00
15.11.2010,20569.00
16.11.2010,20570.00
17.11.2010,20549.00
18.11.2010,20592.00
19.11.2010,20629.00
22.11.2010,20650.00
23.11.2010,20602.00
24.11.2010,20500.00
25.11.2010,20507.00
26.11.2010,20541.00
29.11.2010,20565.00
30.11.2010,20511.00
1.12.2010,20469.00
2.12.2010,20498.00
3.12.2010,20476.00
6.12.2010,20404.00
7.12.2010,20409.00
8.12.2010,20359.00
9.12.2010,20383.00
10.12.2010,20409.00
13.12.2010,20477.00
14.12.2010,20603.00
15.12.2010,20730.00
16.12.2010,20677.00
17.12.2010,20717.00
20.12.2010,20632.00
21.12.2010,20627.00
22.12.2010,20610.00
23.12.2010,20590.00
27.12.2010,20546.00
28.12.2010,20586.00
29.12.2010,20545.00
30.12.2010,20596.00
31.12.2010,20635.00
3.1.2011,20643.00
4.1.2011,20638.00
5.1.2011,20610.00
6.1.2011,20550.00
7.1.2011,20501.00
10.1.2011,20483.00
11.1.2011,20569.00
12.1.2011,20693.00
13.1.2011,20722.00
14.1.2011,20875.00
17.1.2011,20841.00
18.1.2011,21049.00
19.1.2011,21168.00
20.1.2011,21236.00
21.1.2011,21253.00
24.1.2011,21361.00
25.1.2011,21350.00
26.1.2011,21348.00
27.1.2011,21356.00
28.1.2011,21303.00
31.1.2011,21275.00
1.2.2011,21303.00
2.2.2011,21305.00
3.2.2011,21278.00
4.2.2011,21209.00
7.2.2011,21145.00
8.2.2011,21181.00
9.2.2011,21269.00
10.2.2011,21315.00
11.2.2011,21305.00
14.2.2011,21261.00
15.2.2011,21329.00
16.2.2011,21327.00
17.2.2011,21364.00
18.2.2011,21360.00
21.2.2011,21422.00
22.2.2011,21488.00
23.2.2011,21510.00
24.2.2011,21500.00
25.2.2011,21493.00
28.2.2011,21509.00
1.3.2011,21502.00
2.3.2011,21473.00
3.3.2011,21504.00
4.3.2011,21582.00
7.3.2011,21605.00
8.3.2011,21652.00
9.3.2011,21640.00
10.3.2011,21623.00
11.3.2011,21601.00
14.3.2011,21639.00
15.3.2011,21619.00
16.3.2011,21628.00
17.3.2011,21643.00
18.3.2011,21672.00
21.3.2011,21694.00
22.3.2011,21707.00
23.3.2011,21702.00
24.3.2011,21673.00
25.3.2011,21704.00
28.3.2011,21682.00
29.3.2011,21722.00
30.3.2011,21704.00
31.3.2011,21735.00
1.4.2011,21731.00
4.4.2011,21745.00
5.4.2011,21729.00
6.4.2011,21736.00
7.4.2011,21726.00
8.4.2011,21759.00
11.4.2011,21799.00
12.4.2011,21850.00
13.4.2011,21918.00
14.4.2011,21871.00
15.4.2011,21901.00
18.4.2011,21841.00
19.4.2011,21776.00
20.4.2011,21981.00
26.4.2011,22045.00
27.4.2011,22079.00
28.4.2011,22074.00
29.4.2011,22100.00
2.5.2011,22088.00
3.5.2011,22101.00
4.5.2011,22188.00
5.5.2011,22155.00
6.5.2011,22016.00
9.5.2011,21980.00
10.5.2011,21941.00
11.5.2011,21934.00
12.5.2011,21917.00
13.5.2011,21990.00
16.5.2011,21889.00
17.5.2011,21965.00
18.5.2011,21994.00
19.5.2011,22041.00
20.5.2011,22042.00
23.5.2011,21990.00
24.5.2011,22050.00
25.5.2011,22032.00
26.5.2011,22063.00
27.5.2011,22087.00
30.5.2011,22114.00
31.5.2011,22188.00
1.6.2011,22144.00
3.6.2011,22224.00
6.6.2011,22280.00
7.6.2011,22305.00
8.6.2011,22304.00
9.6.2011,22296.00
10.6.2011,22233.00
14.6.2011,22227.00
15.6.2011,22244.00
16.6.2011,22103.00
20.6.2011,22119.00
21.6.2011,22147.00
22.6.2011,22142.00
23.6.2011,22144.00
24.6.2011,22155.00
27.6.2011,22163.00
28.6.2011,22192.00
29.6.2011,22217.00
30.6.2011,22218.00
1.7.2011,22226.00
4.7.2011,22227.00
5.7.2011,22218.00
6.7.2011,22168.00
7.7.2011,22232.00
8.7.2011,22235.00
11.7.2011,22143.00
12.7.2011,22082.00
13.7.2011,22123.00
14.7.2011,22253.00
15.7.2011,22279.00
18.7.2011,22236.00
19.7.2011,22283.00
20.7.2011,22277.00
21.7.2011,22175.00
22.7.2011,22264.00
25.7.2011,22248.00
26.7.2011,22263.00
27.7.2011,22252.00
28.7.2011,22209.00
29.7.2011,22171.00
2.8.2011,22114.00
3.8.2011,22132.00
4.8.2011,22114.00
5.8.2011,22081.00
8.8.2011,22104.00
9.8.2011,22076.00
10.8.2011,22093.00
11.8.2011,22021.00
12.8.2011,21994.00
15.8.2011,22018.00
16.8.2011,22020.00
17.8.2011,21992.00
18.8.2011,21965.00
19.8.2011,21962.00
22.8.2011,21982.00
23.8.2011,21987.00
24.8.2011,21993.00
25.8.2011,22066.00
26.8.2011,22065.00
29.8.2011,22067.00
30.8.2011,22048.00
31.8.2011,21969.00
1.9.2011,21890.00
2.9.2011,21885.00
5.9.2011,21873.00
6.9.2011,21922.00
7.9.2011,21854.00
8.9.2011,21774.00
9.9.2011,21642.00
12.9.2011,21502.00
13.9.2011,21516.00
14.9.2011,21552.00
15.9.2011,21546.00
16.9.2011,21498.00
19.9.2011,21428.00
20.9.2011,21452.00
21.9.2011,21444.00
22.9.2011,21424.00
23.9.2011,21384.00
26.9.2011,21406.00
27.9.2011,21478.00
28.9.2011,21545.00
29.9.2011,21488.00
30.9.2011,21428.00
3.10.2011,21286.00
4.10.2011,21182.00
5.10.2011,21285.00
6.10.2011,21315.00
7.10.2011,21275.00
10.10.2011,21273.00
