Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
8/12/2020,"704,00","709,00","709,00","709,00","700,00","705,00",704582.00,292156.00,205847710.00,8.00
8/11/2020,"705,00","709,00","710,00","716,00","707,00","707,00",711625.00,361022.00,256912120.00,15.00
8/10/2020,"701,00","706,00","701,00","706,00","701,00","701,00",701991.00,30616.00,21492166.00,4.00
8/7/2020,"700,00","706,00","702,00","715,00","702,00","704,00",708358.00,338850.00,239940000.00,17.00
8/6/2020,"705,00","711,00","706,00","708,00","704,00","706,00",706177.00,3226.00,2278128.00,8.00
8/5/2020,"704,00","710,00","709,00","710,00","703,00","704,00",706653.00,20434.00,14439744.00,9.00
8/4/2020,"701,00","709,00","704,00","708,00","702,00","708,00",703623.00,167210.00,117652840.00,8.00
7/31/2020,"710,00","717,00","705,00","710,00","705,00","708,00",708367.00,138475.00,98091087.00,6.00
7/30/2020,"705,00","714,00","715,00","715,00","709,00","710,00",711058.00,92660.00,65886600.00,8.00
7/29/2020,"715,00","724,00","728,00","728,00","720,00","720,00",726003.00,189605.00,137653830.00,7.00
7/28/2020,"738,00","745,00","742,00","749,00","741,00","741,00",743904.00,718237.00,534109235.00,23.00
7/27/2020,"738,00","746,00","719,00","746,00","719,00","746,00",732607.00,429588.00,314779276.00,22.00
7/24/2020,"719,00","725,00","723,00","723,00","719,00","719,00",722519.00,280485.00,202655665.00,8.00
7/23/2020,"724,00","730,00","717,00","736,00","717,00","723,00",726877.00,1751281.00,1272965689.00,65.00
7/22/2020,"694,00","702,00","693,00","702,00","693,00","702,00",697871.00,182740.00,127529000.00,8.00
7/21/2020,"693,00","701,00","691,00","700,00","691,00","692,00",694344.00,111090.00,77267470.00,6.00
7/20/2020,"692,00","700,00","697,00","697,00","690,00","690,00",693839.00,3920.00,2719850.00,2.00
7/17/2020,"688,00","697,00","700,00","700,00","695,00","695,00",697529.00,130500.00,91027500.00,5.00
7/16/2020,"700,00","706,00","700,00","701,00","700,00","700,00","700,40",200000.00,140080000.00,7.00
7/15/2020,"699,00","703,00","700,00","703,00","699,00","699,00",701313.00,205520.00,144133880.00,5.00
7/14/2020,"695,00","700,00","695,00","700,00","690,00","700,00",694434.00,192670.00,133796500.00,9.00
7/13/2020,"692,00","697,00","681,00","697,00","681,00","694,50",686169.00,147650.00,101312800.00,7.00
7/10/2020,"682,00","691,00","691,00","691,00","682,00","682,00",684851.00,947.00,648554.00,4.00
7/9/2020,"681,00","690,00","701,00","701,00","688,00","688,00",689695.00,126390.00,87170490.00,12.00
7/8/2020,"692,00","701,00","706,00","706,00","692,00","692,00",697025.00,41830.00,29156560.00,5.00
7/7/2020,"705,00","707,00","707,00","707,00","705,00","707,00",705807.00,930.00,656400.00,3.00
7/6/2020,"695,00","705,00","700,00","705,00","700,00","700,00",700006.00,312942.00,219061110.00,8.00
7/3/2020,"696,00","697,00","701,00","701,00","697,00","697,00",700088.00,241270.00,168910190.00,5.00
7/2/2020,"701,00","711,00","701,00","706,00","701,00","706,00","703,17",3110.00,2186860.00,3.00
7/1/2020,"702,00","711,00","703,00","703,00","702,00","702,00",702018.00,29822.00,21003684.00,7.00
6/30/2020,"703,00","713,00","712,00","713,00","703,00","705,00",710047.00,363989.00,"258293194,5",14.00
6/29/2020,"701,00","710,00","702,00","702,00","702,00","702,00","702,00",32190.00,22597380.00,2.00
6/26/2020,"705,00","715,00","707,00","717,00","707,00","709,00",715338.00,637088.00,455733161.00,16.00
6/25/2020,"704,00","710,00","732,00","732,00","705,00","710,00",716501.00,966154.00,692791282.00,39.00
6/24/2020,"735,00","737,00","740,00","741,00","733,00","737,00",737957.00,1819687.00,1342754293.00,48.00
6/23/2020,"719,00","725,00","706,00","725,00","706,00","725,00",717598.00,1431060.00,1027114178.00,64.00
6/22/2020,"697,00","706,00","691,00","706,00","684,00","706,00",696585.00,575443.00,401908733.00,26.00
6/19/2020,"682,00","691,00","679,50","691,00","679,50","691,00",684101.00,665450.00,455235250.00,20.00
6/18/2020,"676,00","685,00","675,00","678,00","668,00","678,00",676021.00,491300.00,332328100.00,8.00
6/16/2020,"670,00","678,00","670,00","679,00","666,00","675,00",670731.00,373099.00,250248920.00,30.00
6/15/2020,"642,00","650,00","646,00","650,00","639,00","650,00",641835.00,582970.00,374170485.00,24.00
