Date,Bid,Ask,Opening price,High price,Low price,Closing price,Average price,Total volume,Turnover,Trades
8/12/2020,"44,40","44,55","44,40","44,75","44,30","44,50",44426.00,22808.00,"1013259,9",76.00
8/11/2020,"44,60","44,65","44,30","44,75","44,25","44,50",44522.00,16213.00,"721754,12",111.00
8/10/2020,"44,50","44,60","44,50","44,70","44,05","44,50",44593.00,320444.00,"14289677,7",89.00
8/7/2020,"44,50","44,60","44,00","44,55","44,00","44,50",44484.00,27506.00,"1223583,2",178.00
8/6/2020,"44,05","44,35","44,35","44,65","44,05","44,35","44,33",9752.00,"432264,83",93.00
8/5/2020,"44,15","44,35","44,50","44,50","44,00","44,35",44322.00,96688.00,"4285087,4",98.00
8/4/2020,"44,50","44,55","44,10","44,55","44,00","44,50",44258.00,24119.00,"1067459,7",135.00
8/3/2020,"44,15","44,45","44,80","44,80","44,00","44,10",44102.00,11554.00,"509549,35",108.00
7/31/2020,"44,00","44,20","43,10","44,70","43,10","44,10",44023.00,20297.00,"893523,88",107.00
7/30/2020,"43,70","43,95","44,00","44,25","43,00","43,60",43825.00,36971.00,"1620239,25",182.00
7/29/2020,"43,60","43,80","43,10","44,40","42,90","44,00",43248.00,309926.00,"13403591,05",177.00
7/28/2020,"43,35","43,65","43,10","44,35","43,00","43,45",43558.00,99111.00,"4317194,63",271.00
7/27/2020,"43,50","44,00","43,95","44,30","43,55","43,70",43938.00,45219.00,"1986850,4",155.00
7/24/2020,"44,00","44,10","44,20","45,00","43,15","44,00",44105.00,56063.00,"2472650,8",284.00
7/23/2020,"44,20","44,25","44,80","44,90","44,10","44,30","44,61",68458.00,"3053685,6",252.00
7/22/2020,"44,20","44,30","44,45","45,15","44,05","44,20",44619.00,70643.00,"3151480,75",229.00
7/21/2020,"44,45","44,70","45,00","45,50","44,40","44,45",44836.00,77797.00,"3488158,23",307.00
7/20/2020,"45,15","45,90","44,60","45,95","44,60","45,15",44859.00,9211.00,"413195,1",90.00
7/17/2020,"44,35","44,85","45,85","45,95","43,50","44,60",44851.00,56493.00,"2533779,05",138.00
7/16/2020,"45,50","45,95","45,60","45,95","45,10","45,85",45585.00,12634.00,575919.00,69.00
7/15/2020,"45,80","46,00","45,25","46,20","45,05","45,80",45821.00,47393.00,"2171516,15",91.00
7/14/2020,"45,40","45,80","47,00","47,00","45,00","45,00",45498.00,92041.00,"4218369,5",158.00
7/13/2020,"46,55","46,60","46,30","46,60","46,00","46,55",46271.00,15333.00,709471.00,103.00
7/10/2020,"46,20","46,25","47,75","47,75","46,00","46,20",46682.00,181748.00,"8484297,4",183.00
7/9/2020,"46,80","47,45","46,50","47,50","46,40","47,00",46795.00,56288.00,"2633982,03",143.00
7/8/2020,"46,20","46,40","46,35","46,50","45,60","46,50",46217.00,35909.00,"1659520,4",139.00
7/7/2020,"45,70","46,20","45,75","46,35","45,20","46,35",45838.00,175430.00,"8041270,08",331.00
7/6/2020,"45,65","46,00","45,55","46,00","44,15","45,75",45252.00,434879.00,"19681741,18",221.00
7/3/2020,"44,65","45,00","44,55","46,00","44,55","44,85",45427.00,123018.00,"5588307,4",196.00
7/2/2020,"45,70","46,00","46,45","46,45","44,75","45,70",45665.00,183939.00,"8399574,5",498.00
7/1/2020,"44,50","45,55","44,00","45,90","44,00","45,50",44833.00,20909.00,"937280,05",135.00
6/30/2020,"43,60","44,05",45575.00,"45,60","43,60","44,00",45138.00,69744.00,"3148107,75",185.00
6/29/2020,"45,45","45,65","45,75","45,75","45,10","45,10",45262.00,12070.00,"546306,75",72.00
6/26/2020,"45,70","46,10","45,80","46,45","45,20","45,70",45757.00,15675.00,"717432,3",93.00
6/25/2020,"45,85","46,10","45,65","46,40","45,60","46,00",45925.00,48895.00,"2245380,75",107.00
6/24/2020,"46,10","46,35","47,30","47,30","46,00","46,15",46635.00,114831.00,"5354799,7",118.00
6/23/2020,"47,00","47,50","46,70","47,50","46,70","47,30","47,30",49690.00,"2342628,2",149.00
6/22/2020,"46,70","47,40","46,95","47,80","45,50","46,70","46,71",20161.00,"941723,8",109.00
6/19/2020,"47,10","47,15","48,50","48,50","47,10","47,10",47216.00,27290.00,"1288522,8",130.00
6/18/2020,"47,90","48,40","46,25","48,40","46,10","48,00",47686.00,57538.00,"2743739,7",211.00
6/17/2020,"47,30","47,40","45,65","47,50","45,65","47,45",46668.00,40729.00,"1900222,23",192.00
6/16/2020,"46,00","46,65","46,80","47,65","45,65","45,70",46736.00,281304.00,"13148061,3",234.00
6/15/2020,"45,90","46,75","44,95","46,85","44,80","46,40",45705.00,59843.00,"2734694,35",228.00
6/12/2020,"45,70","45,95","46,35","47,95","43,10","46,00",46075.00,233440.00,"10755631,13",368.00
6/11/2020,"46,35","46,50","48,95","48,95","45,10","46,50",46304.00,131963.00,"6112784,2",244.00
6/10/2020,"46,60","47,60","48,95","48,95","46,55","48,40",47591.00,123259.00,"5865630,68",169.00
